Contestant Key,Season,Position,Location,Name,Age,Sex,Partner,Kids,Weight,City,State/Province,Country,Duration,Reason for leaving,Reason1,Reason2,Items
6,1,7,"Quatsino, British Columbia, Canada",Wayne Russell,46,Male,Yes,Yes,Medium,Saint John,New Brunswick,Canada,4,Fear of bears,Fear,Mental,Sleeping bag
6,1,7,"Quatsino, British Columbia, Canada",Wayne Russell,46,Male,Yes,Yes,Medium,Saint John,New Brunswick,Canada,4,Fear of bears,Fear,Mental,Tarp
6,1,7,"Quatsino, British Columbia, Canada",Wayne Russell,46,Male,Yes,Yes,Medium,Saint John,New Brunswick,Canada,4,Fear of bears,Fear,Mental,Ferro rod
6,1,7,"Quatsino, British Columbia, Canada",Wayne Russell,46,Male,Yes,Yes,Medium,Saint John,New Brunswick,Canada,4,Fear of bears,Fear,Mental,Fishing line and hooks
6,1,7,"Quatsino, British Columbia, Canada",Wayne Russell,46,Male,Yes,Yes,Medium,Saint John,New Brunswick,Canada,4,Fear of bears,Fear,Mental,Knife
6,1,7,"Quatsino, British Columbia, Canada",Wayne Russell,46,Male,Yes,Yes,Medium,Saint John,New Brunswick,Canada,4,Fear of bears,Fear,Mental,Multitool
7,1,8,"Quatsino, British Columbia, Canada",Joe Robinet,24,Male,Yes,Yes,Light,Windsor,Ontario,Canada,4,Loss of ferro rod,Lack of Fire,Inexperience,Tarp
7,1,8,"Quatsino, British Columbia, Canada",Joe Robinet,24,Male,Yes,Yes,Light,Windsor,Ontario,Canada,4,Loss of ferro rod,Lack of Fire,Inexperience,Paracord
7,1,8,"Quatsino, British Columbia, Canada",Joe Robinet,24,Male,Yes,Yes,Light,Windsor,Ontario,Canada,4,Loss of ferro rod,Lack of Fire,Inexperience,Axe
7,1,8,"Quatsino, British Columbia, Canada",Joe Robinet,24,Male,Yes,Yes,Light,Windsor,Ontario,Canada,4,Loss of ferro rod,Lack of Fire,Inexperience,Sleeping bag
7,1,8,"Quatsino, British Columbia, Canada",Joe Robinet,24,Male,Yes,Yes,Light,Windsor,Ontario,Canada,4,Loss of ferro rod,Lack of Fire,Inexperience,Pot
7,1,8,"Quatsino, British Columbia, Canada",Joe Robinet,24,Male,Yes,Yes,Light,Windsor,Ontario,Canada,4,Loss of ferro rod,Lack of Fire,Inexperience,Ferro rod
7,1,8,"Quatsino, British Columbia, Canada",Joe Robinet,24,Male,Yes,Yes,Light,Windsor,Ontario,Canada,4,Loss of ferro rod,Lack of Fire,Inexperience,Fishing line and hooks
7,1,8,"Quatsino, British Columbia, Canada",Joe Robinet,24,Male,Yes,Yes,Light,Windsor,Ontario,Canada,4,Loss of ferro rod,Lack of Fire,Inexperience,Gill net
7,1,8,"Quatsino, British Columbia, Canada",Joe Robinet,24,Male,Yes,Yes,Light,Windsor,Ontario,Canada,4,Loss of ferro rod,Lack of Fire,Inexperience,Food ration
7,1,8,"Quatsino, British Columbia, Canada",Joe Robinet,24,Male,Yes,Yes,Light,Windsor,Ontario,Canada,4,Loss of ferro rod,Lack of Fire,Inexperience,Knife
8,1,9,"Quatsino, British Columbia, Canada",Chris Weatherman,41,Male,Yes,Yes,Heavy,Umatilla,Florida,United States,1.5,Fear of wolves,Fear,Mental,Saw
8,1,9,"Quatsino, British Columbia, Canada",Chris Weatherman,41,Male,Yes,Yes,Heavy,Umatilla,Florida,United States,1.5,Fear of wolves,Fear,Mental,Axe
8,1,9,"Quatsino, British Columbia, Canada",Chris Weatherman,41,Male,Yes,Yes,Heavy,Umatilla,Florida,United States,1.5,Fear of wolves,Fear,Mental,Sleeping bag
8,1,9,"Quatsino, British Columbia, Canada",Chris Weatherman,41,Male,Yes,Yes,Heavy,Umatilla,Florida,United States,1.5,Fear of wolves,Fear,Mental,Ferro rod
8,1,9,"Quatsino, British Columbia, Canada",Chris Weatherman,41,Male,Yes,Yes,Heavy,Umatilla,Florida,United States,1.5,Fear of wolves,Fear,Mental,Pot
8,1,9,"Quatsino, British Columbia, Canada",Chris Weatherman,41,Male,Yes,Yes,Heavy,Umatilla,Florida,United States,1.5,Fear of wolves,Fear,Mental,Canteen
8,1,9,"Quatsino, British Columbia, Canada",Chris Weatherman,41,Male,Yes,Yes,Heavy,Umatilla,Florida,United States,1.5,Fear of wolves,Fear,Mental,Fishing line and hooks
8,1,9,"Quatsino, British Columbia, Canada",Chris Weatherman,41,Male,Yes,Yes,Heavy,Umatilla,Florida,United States,1.5,Fear of wolves,Fear,Mental,Bow and arrows
8,1,9,"Quatsino, British Columbia, Canada",Chris Weatherman,41,Male,Yes,Yes,Heavy,Umatilla,Florida,United States,1.5,Fear of wolves,Fear,Mental,Knife
8,1,9,"Quatsino, British Columbia, Canada",Chris Weatherman,41,Male,Yes,Yes,Heavy,Umatilla,Florida,United States,1.5,Fear of wolves,Fear,Mental,Sharpening stone
9,1,10,"Quatsino, British Columbia, Canada",Josh Chavez,31,Male,Yes,Yes,Heavy,Jackson,Ohio,United States,0.5,Fear of bears,Fear,Mental,Bivy bag
9,1,10,"Quatsino, British Columbia, Canada",Josh Chavez,31,Male,Yes,Yes,Heavy,Jackson,Ohio,United States,0.5,Fear of bears,Fear,Mental,Paracord
9,1,10,"Quatsino, British Columbia, Canada",Josh Chavez,31,Male,Yes,Yes,Heavy,Jackson,Ohio,United States,0.5,Fear of bears,Fear,Mental,Saw
9,1,10,"Quatsino, British Columbia, Canada",Josh Chavez,31,Male,Yes,Yes,Heavy,Jackson,Ohio,United States,0.5,Fear of bears,Fear,Mental,Axe
9,1,10,"Quatsino, British Columbia, Canada",Josh Chavez,31,Male,Yes,Yes,Heavy,Jackson,Ohio,United States,0.5,Fear of bears,Fear,Mental,Sleeping bag
9,1,10,"Quatsino, British Columbia, Canada",Josh Chavez,31,Male,Yes,Yes,Heavy,Jackson,Ohio,United States,0.5,Fear of bears,Fear,Mental,Tarp
9,1,10,"Quatsino, British Columbia, Canada",Josh Chavez,31,Male,Yes,Yes,Heavy,Jackson,Ohio,United States,0.5,Fear of bears,Fear,Mental,Pot
9,1,10,"Quatsino, British Columbia, Canada",Josh Chavez,31,Male,Yes,Yes,Heavy,Jackson,Ohio,United States,0.5,Fear of bears,Fear,Mental,Ferro rod
9,1,10,"Quatsino, British Columbia, Canada",Josh Chavez,31,Male,Yes,Yes,Heavy,Jackson,Ohio,United States,0.5,Fear of bears,Fear,Mental,Fishing line and hooks
9,1,10,"Quatsino, British Columbia, Canada",Josh Chavez,31,Male,Yes,Yes,Heavy,Jackson,Ohio,United States,0.5,Fear of bears,Fear,Mental,Bow and arrows
10,2,1,"Quatsino, British Columbia, Canada",David McIntyre,50,Male,No,Yes,Heavy,Kentwood,Michigan,United States,66,Victor,Won,Won,Knife
10,2,1,"Quatsino, British Columbia, Canada",David McIntyre,50,Male,No,Yes,Heavy,Kentwood,Michigan,United States,66,Victor,Won,Won,Ferro rod
10,2,1,"Quatsino, British Columbia, Canada",David McIntyre,50,Male,No,Yes,Heavy,Kentwood,Michigan,United States,66,Victor,Won,Won,Pot
10,2,1,"Quatsino, British Columbia, Canada",David McIntyre,50,Male,No,Yes,Heavy,Kentwood,Michigan,United States,66,Victor,Won,Won,Fishing line and hooks
10,2,1,"Quatsino, British Columbia, Canada",David McIntyre,50,Male,No,Yes,Heavy,Kentwood,Michigan,United States,66,Victor,Won,Won,Saw
10,2,1,"Quatsino, British Columbia, Canada",David McIntyre,50,Male,No,Yes,Heavy,Kentwood,Michigan,United States,66,Victor,Won,Won,Axe
10,2,1,"Quatsino, British Columbia, Canada",David McIntyre,50,Male,No,Yes,Heavy,Kentwood,Michigan,United States,66,Victor,Won,Won,Sleeping bag
10,2,1,"Quatsino, British Columbia, Canada",David McIntyre,50,Male,No,Yes,Heavy,Kentwood,Michigan,United States,66,Victor,Won,Won,Bivy bag
10,2,1,"Quatsino, British Columbia, Canada",David McIntyre,50,Male,No,Yes,Heavy,Kentwood,Michigan,United States,66,Victor,Won,Won,Gill net
10,2,1,"Quatsino, British Columbia, Canada",David McIntyre,50,Male,No,Yes,Heavy,Kentwood,Michigan,United States,66,Victor,Won,Won,Food ration
11,2,2,"Quatsino, British Columbia, Canada",Larry Roberts,44,Male,Yes,Yes,Medium,Rush City,Minnesota,United States,64,Hunger and mental breakdown,Food,Environment,Knife
11,2,2,"Quatsino, British Columbia, Canada",Larry Roberts,44,Male,Yes,Yes,Medium,Rush City,Minnesota,United States,64,Hunger and mental breakdown,Food,Environment,Pot
11,2,2,"Quatsino, British Columbia, Canada",Larry Roberts,44,Male,Yes,Yes,Medium,Rush City,Minnesota,United States,64,Hunger and mental breakdown,Food,Environment,Fishing line and hooks
11,2,2,"Quatsino, British Columbia, Canada",Larry Roberts,44,Male,Yes,Yes,Medium,Rush City,Minnesota,United States,64,Hunger and mental breakdown,Food,Environment,Saw
11,2,2,"Quatsino, British Columbia, Canada",Larry Roberts,44,Male,Yes,Yes,Medium,Rush City,Minnesota,United States,64,Hunger and mental breakdown,Food,Environment,Axe
11,2,2,"Quatsino, British Columbia, Canada",Larry Roberts,44,Male,Yes,Yes,Medium,Rush City,Minnesota,United States,64,Hunger and mental breakdown,Food,Environment,Ferro rod
11,2,2,"Quatsino, British Columbia, Canada",Larry Roberts,44,Male,Yes,Yes,Medium,Rush City,Minnesota,United States,64,Hunger and mental breakdown,Food,Environment,Sleeping bag
