Contestant Key,Season,Position,Location,Name,Age,Sex,Partner,Kids,Weight,Experience,Experience 1,Experience 2,Experience 3,Experience 4,City,State/Province,Country,Duration,Reason for leaving,Reason1,Reason2,Item 1,Item 2,Item 3,Item 4,Item 5,Item 6,Item 7,Item 8,Item 9,Item 10,,,,,,,,,
27,3,8,"Patagonia, Argentina",Britt Ahart,40,Male,No,Yes,Medium,"Bushcraft, primitive living",Boy Scout,Bushcrafting,,,Mantua,Ohio,United States,35,Missed family,Lonely,Mental,Knife,Multitool,Paracord,Fishing line and hooks,Pot,Ferro rod,Sleeping bag,Bow and arrows,Saw,Snare wire,,,,,,,,,
28,3,9,"Patagonia, Argentina",Zachary Gault,22,Male,No,No,Light,Solo Camper,Solo Trips,,,,Caledon,Ontario,Canada,8,Cut arm with axe,Injury,Mistake,Sleeping bag,Pot,Fishing line and hooks,Sharpening Stone,Ferro rod,Saw,Paracord,Axe,Knife,Food ration,,,,,,,,,
29,3,10,"Patagonia, Argentina",Jim Shields,37,Male,Yes,No,Medium,High school adventure club,Survival School,Health Care,,,Langhorne,Pennsylvania,United States,2,Regretted leaving family,Lonely,Mental,Sleeping bag,Axe,Saw,Knife,Ferro rod,Paracord,Pot,Fishing line and hooks,Food ration,Food ration,,,,,,,,,
30,5,1,"Northern Mongolia, Asia",Sam Larson,24,Male,Yes,Yes,Heavy,"Bushcrafting instructor, solo camping",Solo Trips,Bushcrafting,Survival School,Alone,Lincoln,Nebraska,United States,60,Victor,Won,Won,Saw,Axe,Pot,Ferro rod,Multitool,Food ration,Food ration,Sleeping bag,Paracord,Snare wire,,,,,,,,,
31,5,2,"Northern Mongolia, Asia",Britt Ahart,41,Male,No,Yes,Medium,"Bushcraft, primitive living",Boy Scout,Bushcrafting,Alone,,Mantua,Ohio,United States,56,Missed his family,Lonely,Mental,Knife,Multitool,Paracord,Fishing line and hooks,Pot,Ferro rod,Sleeping bag,Bow and arrows,Saw,Snare wire,,,,,,,,,
32,5,3,"Northern Mongolia, Asia",Larry Roberts,46,Male,Yes,Yes,Medium,"Camping, teaches bushcraft",Survival School,Bushcrafting,Alone,,Rush City,Minnesota,United States,41,Missed his family,Lonely,Mental,Knife,Sleeping bag,Pot,Ferro rod,Paracord,Saw,Fishing line and hooks,Snare wire,Food ration,Food ration,,,,,,,,,
33,5,4,"Northern Mongolia, Asia",Dave Nessia,50,Male,No,No,Light,Bushcraft instructor,Survival School,Bushcrafting,Rural Living,Alone,Salt Lake City,Utah,United States,36,"Just felt ""right""",Content,Mental,Axe,Sleeping bag,Pot,Ferro rod,Fishing line and hooks,Bow and arrows,Gill net,Snare wire,Knife,Food ration,,,,,,,,,
34,5,5,"Northern Mongolia, Asia",Randy Champagne,31,Male,No,No,Medium,"Teaches wilderness survival, Hunter",Survival School,Hunter,Alone,,Boulder,Utah,United States,35,Lonely,Lonely,Mental,Knife,Axe,Sleeping bag,Pot,Bow and arrows,Snare wire,Fishing line and hooks,Ferro rod,Saw,Food ration,,,,,,,,,
35,5,6,"Northern Mongolia, Asia",Brooke Whipple,45,Female,Yes,Yes,Light,"Wilderness survival educator, firefighter",Survival School,Firefighter,Alone,,Fox,Alaska,United States,28,Lonely,Lonely,Mental,Axe,Saw,Sleeping bag,Fishing line and hooks,Ferro rod,Multitool,Pot,Bow and arrows,Food ration,Snare wire,,,,,,,,,
36,5,7,"Northern Mongolia, Asia",Jesse Bosdell,32,Male,No,No,Medium,"Hunter, survival, green beret",Military,Hunter,Alone,,Skowhegan,Maine,United States,24,"Constipation, possible fecal impaction",Illness,Inexperience,Sleeping bag,Knife,Ferro rod,Food ration,Canteen,Pot,Bow and arrows,Fishing line and hooks,Saw,Axe,,,,,,,,,
37,5,8,"Northern Mongolia, Asia",Nicole Apelian,47,Female,Yes,Yes,Light,"Biologist, primitive skills instructor",Plant Experience,Survival School,Alone,,Raymond,Washington,United States,9,MS attack,Illness,Pre-existing Health,Knife,Saw,Sleeping bag,Ferro rod,Multitool,Pot,Fishing line and hooks,Gill net,Snare wire,Food ration,,,,,,,,,
38,5,9,"Northern Mongolia, Asia",Brad Richardson,24,Male,No,No,Light,"Blacksmith, ",Boy Scout,Survival School,Alone,,Fox Lake,Illinois,United States,7,Had no food the whole time,Food,Inexperience,Axe,Saw,Knife,Snare wire,Fishing line and hooks,Bow and arrows,Sleeping bag,Ferro rod,Frying pan,Food ration,,,,,,,,,
39,5,10,"Northern Mongolia, Asia",Carleigh Fairchild,30,Female,No,No,Light,"Attended wilderness school, carpenter",Survival School,Plant Experience,Rural Living,Alone,Anchorage,Alaska,United States,5,Fish hook in hand,Injury,Mistake,Paracord,Saw,Sleeping bag,Pot,Ferro rod,Canteen,Fishing line and hooks,Bow and arrows,Knife,Food ration,,,,,,,,,
40,6,1,"Great Slave Lake, Northwest Territory, Canada",Jordan Jonas,35,Male,Yes,No,Light,"Hunter, trapper",Hunter,Rural Living,Cold Weather,,Lynchburg,Virginia,United States,77,Victor,Won,Won,Paracord,Saw,Axe,Sleeping bag,Frying pan,Ferro rod,Fishing line and hooks,Bow and arrows,Snare wire,Multitool,,,,,,,,,
41,6,2,"Great Slave Lake, Northwest Territory, Canada",Woniya Thibeault,42,Female,No,No,Light,Ancestral Skills Teacher,Survival School,Rural Living,Plant Experience,,Grass Valley,California,United States,73,Starvation,Food,Environment,Sleeping bag,Pot,Ferro rod,Knife,Bow and arrows,Saw,Multitool,Fishing line and hooks,Paracord,Food ration,,,,,,,,,
42,6,3,"Great Slave Lake, Northwest Territory, Canada",Nathan Donnelly,39,Male,Yes,No,Medium,"Disaster Preparedness Instructor, ranger, firefighter",Survival School,Firefighter,Hunter,Rural Living,Lopez Island,Washington,United States,72,Shelter fire,Fire,Mistake,Sleeping bag,Pot,Knife,Fishing line and hooks,Knife,Gill net,Axe,Food ration,Paracord,Bow and arrows,,,,,,,,,
43,6,4,"Great Slave Lake, Northwest Territory, Canada",Barry Karcher,39,Male,Yes,Yes,Heavy,"Self Defense Instructor, bushcrafter",Bushcrafting,Hunter,,,Fort Collins,Colorado,United States,69,Lost too much weight,Food,Environment,Sleeping bag,Ferro rod,Knife,Saw,Pot,Paracord,Snare wire,Tarp,Bow and arrows,Fishing line and hooks,,,,,,,,,
44,6,5,"Great Slave Lake, Northwest Territory, Canada",Nikki van Schyndel,44,Female,No,No,Light,"Wilderness Guide, survivalist",Rural Living,Survival School,,,Echo Bay,British Columbia,Canada,52,"Low BMI, lost too much weight",Food,Environment,Knife,Pot,Axe,Sleeping bag,Saw,Paracord,Bow and arrows,Fishing line and hooks,Ferro rod,Snare wire,,,,,,,,,
45,6,6,"Great Slave Lake, Northwest Territory, Canada",Michelle Wohlberg,31,Female,Yes,Yes,Medium,Homesteader,Rural Living,Cold Weather,Hunter,,Mullingar,Saskatchewan,Canada,48,"Constipation, possible impacted bowel",Illness,Environment,Axe,Multitool,Saw,Sleeping bag,Pot,Fishing line and hooks,Snare wire,Food ration,Ferro rod,Paracord,,,,,,,,,
46,6,7,"Great Slave Lake, Northwest Territory, Canada",Brady Nicholls,36,Male,Yes,Yes,Heavy,Air Force Survivalist,Military,Bushcrafting,Survival School,,San Antonio,Texas,United States,32,Missed his family,Lonely,Mental,Ferro rod,Saw,Multitool,Axe,Pot,Sleeping bag,Snare wire,Fishing line and hooks,Food ration,Food ration,,,,,,,,,
47,6,8,"Great Slave Lake, Northwest Territory, Canada",Ray Livingston,43,Male,Yes,Yes,Medium,"Search and Rescue, hunter",Police,Hunter,,,Vancouver,Washington,United States,19,Nothing left to give,Food,Environment,Multitool,Saw,Axe,Sleeping bag,Pot,Ferro rod,Fishing line and hooks,Bow and arrows,Snare wire,Knife,,,,,,,,,
48,6,9,"Great Slave Lake, Northwest Territory, Canada",Donny Dust,38,Male,Yes,Yes,Heavy,Primitive Technology Instructor,Survival School,Military,Rural Living,Hunter,Monument,Colorado,United States,8,Food poisoning,Injury,Mistake,Sleeping bag,Bow and arrows,Paracord,Saw,Pot,Food ration,Knife,Ferro rod,Fishing line and hooks,Axe,,,,,,,,,
49,6,10,"Great Slave Lake, Northwest Territory, Canada",Tim Backus,55,Male,No,Yes,Heavy,Hunter Guide,Hunter,,,,Lubbock,Texas,United States,4,Broken ankle,Injury,Mistake,Bow and arrows,Sleeping bag,Axe,Knife,Fishing line and hooks,Saw,Ferro rod,Pot,Shovel,Paracord,,,,,,,,,
50,7,1,"Great Slave Lake, Northwest Territory, Canada",Roland Welker,47,Male,No,No,Medium,Hunter Guide,Hunter,Bushcrafting,Solo Trips,,Red Devil,Alaska,United States,100,Victor,Won,Won,Ferro rod,Gill net,Pot,Snare wire,Axe,Saw,Multitool,Knife,Bow and arrows,Sleeping bag,,,,,,,,,
51,7,2,"Great Slave Lake, Northwest Territory, Canada",Callie Russell,31,Female,No,No,Light,Ancestral Living Skills Instructor,Survival School,Rural Living,Plant Experience,Hunter,Flathead Valley,Montana,United States,89,Frostbite of the toes,Cold,Environment,Axe,Saw,Knife,Pot,Ferro rod,Sleeping bag,Snare wire,Fishing line and hooks,Bow and arrows,Paracord,,,,,,,,,
52,7,3,"Great Slave Lake, Northwest Territory, Canada",Kielyn Marrone,33,Female,Yes,No,Medium,Winter Wilderness Expedition Operator,Rural Living,Cold Weather,,,Espanola,Ontario,Canada,80,Starvation,Food,Environment,Snare wire,Fishing line and hooks,Gill net,Axe,Pot,Sleeping bag,Paracord,Ferro rod,Bow and arrows,Multitool,,,,,,,,,
53,7,4,"Great Slave Lake, Northwest Territory, Canada",Amós Rodriguez,40,Male,No,No,Medium,Primitive Skills Instructor,Survival School,,,,Indianapolis,Indiana,United States,58,Starvation,Food,Environment,Bow and arrows,Gill net,Fishing line and hooks,Multitool,Axe,Food ration,Ferro rod,Pot,Paracord,Sleeping bag,,,,,,,,,
54,7,5,"Great Slave Lake, Northwest Territory, Canada",Mark D'Ambrosio,33,Male,No ,Yes,Medium,Sniper & Survival Skills Instructor,Military,Survival School,Cold Weather,Hunter,Vancouver,Washington,United States,44,Effects of trichinosis infection,Injury,Mistake,Pot,Sleeping bag,Ferro rod,Paracord,Multitool,Saw,Axe,Snare wire,Fishing line and hooks,Bow and arrows,,,,,,,,,
